age,labor_force_status,weekly_earnings_raw,education_level,sex,marital_status,race,industry_code,survey_weight_raw,metro_status,is_employed
26.0,1.0,,43.0,1.0,6.0,1.0,7970.0,49425045.0,1.0,1.0
48.0,1.0,,43.0,2.0,4.0,1.0,4971.0,43436692.0,1.0,1.0
48.0,1.0,,43.0,2.0,1.0,1.0,8590.0,50565400.0,1.0,1.0
47.0,1.0,135000.0,39.0,1.0,1.0,1.0,9470.0,63957453.0,1.0,1.0
51.0,1.0,127000.0,43.0,2.0,1.0,1.0,9370.0,53826872.0,1.0,1.0
34.0,1.0,,33.0,1.0,1.0,1.0,7690.0,55692956.0,1.0,1.0
34.0,7.0,,34.0,2.0,1.0,1.0,,56406510.0,1.0,
50.0,1.0,,42.0,2.0,6.0,1.0,4871.0,40629046.0,1.0,1.0
35.0,1.0,,43.0,2.0,6.0,2.0,5071.0,51287643.0,1.0,1.0
54.0,5.0,,41.0,2.0,6.0,2.0,,47714516.0,1.0,
45.0,1.0,,40.0,2.0,2.0,1.0,6290.0,51630835.0,1.0,1.0
31.0,5.0,,43.0,1.0,1.0,1.0,,61313994.0,1.0,
45.0,5.0,,43.0,2.0,1.0,1.0,,55768910.0,1.0,
49.0,1.0,,40.0,2.0,1.0,2.0,8470.0,65613665.0,1.0,1.0
50.0,1.0,,40.0,1.0,1.0,2.0,770.0,61648720.0,1.0,1.0
27.0,1.0,,41.0,2.0,6.0,2.0,6070.0,78434097.0,1.0,1.0
31.0,1.0,110000.0,42.0,2.0,4.0,1.0,3580.0,49186877.0,1.0,1.0
37.0,1.0,,45.0,1.0,6.0,1.0,8191.0,47955126.0,1.0,1.0
31.0,1.0,,45.0,2.0,6.0,1.0,8090.0,52475670.0,1.0,1.0
36.0,1.0,,40.0,2.0,5.0,1.0,7970.0,80422211.0,1.0,1.0
32.0,1.0,,43.0,1.0,2.0,4.0,7280.0,54990310.0,1.0,1.0
49.0,7.0,,40.0,2.0,1.0,4.0,,40139427.0,1.0,
25.0,1.0,,44.0,2.0,6.0,1.0,7860.0,59429431.0,1.0,1.0
42.0,1.0,,43.0,2.0,1.0,2.0,8191.0,82339224.0,1.0,1.0
51.0,1.0,,39.0,1.0,1.0,2.0,7770.0,71486691.0,1.0,1.0
52.0,1.0,,43.0,1.0,1.0,2.0,1880.0,68853672.0,1.0,1.0
53.0,1.0,,40.0,2.0,1.0,2.0,6871.0,51694258.0,1.0,1.0
51.0,1.0,,40.0,1.0,1.0,2.0,6370.0,68853672.0,1.0,1.0
45.0,1.0,,43.0,2.0,1.0,2.0,6370.0,73282004.0,1.0,1.0
52.0,1.0,,41.0,1.0,6.0,7.0,770.0,72702013.0,1.0,1.0
31.0,6.0,,39.0,2.0,4.0,1.0,,79514721.0,1.0,
29.0,1.0,,39.0,2.0,6.0,1.0,6380.0,86196203.0,1.0,1.0
44.0,1.0,,43.0,2.0,6.0,1.0,7860.0,57149812.0,1.0,1.0
28.0,1.0,92000.0,43.0,2.0,6.0,1.0,8191.0,57852844.0,1.0,1.0
26.0,1.0,154000.0,39.0,1.0,6.0,1.0,2570.0,59645980.0,1.0,1.0
51.0,7.0,,44.0,2.0,1.0,1.0,,56039802.0,1.0,
52.0,1.0,,43.0,1.0,1.0,1.0,6970.0,63061299.0,1.0,1.0
